id,column_1,column_2,column_3,column_4,column_5
735,D,category_9,63,A',2020-11-20
736,D,category_8,83,B',2022-05-23
737,A,category_2,88,A',2021-08-04
738,B,category_6,62,B',2023-06-10
739,C,category_5,90,A',2023-05-16
740,A,category_2,10,A',2022-11-13
741,A,category_7,6,A',2023-05-15
742,B,category_7,17,C',2021-05-11
743,A,category_4,84,A',2023-05-17
744,B,category_1,61,A',2021-06-24
745,A,category_3,66,A',2021-02-24
746,B,category_9,16,A',2023-10-12
747,D,category_3,23,C',2020-09-18
748,C,category_7,42,B',2020-09-02
749,B,category_1,73,C',2021-12-09
750,D,category_3,55,A',2022-03-01
751,A,category_6,87,C',2023-01-23
752,A,category_2,22,C',2022-11-27
753,D,category_1,59,C',2023-12-08
754,B,category_3,10,B',2020-10-14
755,C,category_6,25,A',2022-11-18
756,A,category_6,87,C',2022-03-03
757,A,category_1,86,B',2021-02-05
758,D,category_7,99,A',2020-08-15
759,B,category_7,71,C',2021-10-27
760,D,category_3,6,B',2023-03-27
761,D,category_3,7,B',2021-02-11
762,C,category_8,89,C',2023-09-06
763,C,category_2,88,C',2021-08-27
764,C,category_1,62,B',2022-04-22
765,D,category_8,76,B',2021-08-18
766,A,category_8,8,B',2023-08-08
767,C,category_6,95,A',2020-09-27
768,B,category_7,52,B',2020-11-24
769,C,category_5,46,C',2022-09-10
770,D,category_9,11,A',2023-04-24
771,A,category_5,10,B',2023-12-23
772,D,category_6,73,C',2022-11-19
773,D,category_3,70,B',2021-02-08
774,A,category_4,80,C',2023-12-26
775,B,category_4,7,B',2021-09-17
776,B,category_5,38,C',2022-04-21
777,A,category_2,62,C',2020-07-09
778,B,category_2,29,C',2023-05-07
779,B,category_8,73,A',2021-08-07
780,B,category_4,95,C',2022-02-03
781,C,category_3,86,C',2021-06-02
782,C,category_8,75,B',2020-05-22
783,C,category_7,48,B',2023-01-26
784,C,category_2,29,B',2022-09-10
785,D,category_2,11,A',2023-04-16
786,B,category_1,89,B',2023-05-23
787,B,category_9,13,B',2023-06-14
788,C,category_8,54,B',2023-02-13
789,C,category_2,23,A',2023-09-14
790,C,category_7,56,A',2023-07-05
791,D,category_4,92,C',2021-02-14
792,C,category_1,89,B',2023-08-25
793,D,category_4,23,B',2020-07-19
794,A,category_8,86,A',2021-01-06
795,B,category_5,69,A',2020-01-05
796,C,category_3,63,A',2022-11-16
797,B,category_6,54,A',2021-06-12
798,D,category_4,38,C',2020-11-13
799,A,category_5,98,B',2022-08-05
800,A,category_4,52,B',2023-07-25
801,A,category_7,12,C',2023-04-16
802,C,category_4,72,C',2023-06-03
803,B,category_6,63,A',2023-03-10
804,B,category_8,47,C',2023-05-03
805,A,category_8,7,B',2023-05-20
806,A,category_3,93,B',2022-07-02
807,C,category_4,77,B',2023-12-12
808,D,category_5,56,B',2022-04-11
809,C,category_1,7,C',2022-12-04
810,B,category_8,25,C',2022-09-13
811,C,category_4,37,B',2020-08-15
812,A,category_5,26,B',2021-04-08
813,A,category_3,89,C',2023-11-11
814,A,category_4,32,C',2022-10-25
815,C,category_5,79,A',2022-05-21
816,C,category_9,78,B',2023-09-05
817,B,category_7,47,A',2023-08-22
818,B,category_6,40,B',2020-06-11
819,C,category_8,52,B',2023-05-21
820,C,category_8,20,A',2023-07-02
821,C,category_9,28,C',2020-08-08
822,B,category_5,2,C',2021-12-06
823,B,category_7,9,A',2023-12-07
824,B,category_7,6,B',2023-04-14
825,C,category_2,34,B',2020-03-03
826,B,category_2,41,A',2023-03-04
827,B,category_2,32,C',2021-10-18
828,D,category_6,97,C',2020-10-10
829,B,category_7,10,A',2020-02-26
830,A,category_8,59,C',2022-01-23
831,C,category_3,39,C',2021-09-08
832,A,category_9,57,A',2022-02-23
833,B,category_2,50,B',2021-05-24
834,B,category_2,99,A',2021-02-12
835,A,category_7,54,C',2022-06-17
836,C,category_4,3,A',2021-04-18
837,C,category_5,85,C',2020-06-19
838,B,category_2,1,A',2021-04-14
839,B,category_5,96,C',2023-11-13
840,C,category_2,57,B',2021-09-19
841,B,category_1,30,B',2020-05-25
842,A,category_7,84,C',2020-09-19
843,A,category_3,82,C',2023-11-22
844,A,category_4,46,A',2020-03-19
845,A,category_3,14,C',2020-03-17
846,D,category_5,89,B',2023-08-25
847,A,category_4,85,B',2021-10-03
848,D,category_9,14,A',2023-10-17
849,A,category_3,75,B',2023-07-01
850,C,category_7,3,B',2021-09-10
851,D,category_7,0,A',2021-08-01
852,A,category_5,29,C',2021-11-06
853,C,category_2,59,A',2023-08-12
854,D,category_3,24,B',2020-04-11
855,B,category_9,46,A',2020-02-13
856,C,category_9,86,C',2022-08-07
857,D,category_5,24,B',2023-06-08
858,A,category_3,30,C',2023-11-02
859,A,category_4,37,B',2022-01-12
860,B,category_1,35,B',2023-04-25
861,B,category_7,49,B',2021-12-12
862,B,category_6,24,C',2022-01-10
863,A,category_7,33,A',2023-03-26
864,B,category_8,16,B',2020-06-05
865,A,category_3,41,C',2022-05-04
866,A,category_9,72,B',2022-02-12
867,A,category_7,31,A',2020-02-27
868,C,category_9,12,B',2020-10-06
869,C,category_4,37,A',2020-06-24
870,A,category_2,51,C',2022-05-11
871,A,category_9,70,B',2023-05-04
872,D,category_7,48,A',2021-12-24
873,C,category_6,58,B',2021-05-06
874,D,category_3,99,C',2022-06-14
875,B,category_7,85,A',2023-11-14
876,B,category_1,93,C',2021-09-16
877,D,category_9,38,A',2021-04-03
878,D,category_6,61,C',2020-06-26
879,D,category_5,46,B',2021-11-10
880,A,category_9,96,B',2021-10-15
881,C,category_5,29,A',2020-04-14
882,C,category_9,66,A',2022-08-03
883,D,category_2,58,A',2022-03-09
884,A,category_9,14,A',2022-10-23
885,D,category_3,30,A',2023-06-27
886,B,category_1,54,A',2022-06-04
887,A,category_9,51,B',2023-07-01
888,B,category_2,9,C',2020-10-01
889,D,category_9,67,C',2020-08-05
890,D,category_3,80,A',2023-03-07
891,D,category_5,93,B',2020-07-26
892,B,category_2,42,B',2021-05-22
893,A,category_4,60,B',2022-09-27
894,B,category_2,68,C',2020-12-08
895,D,category_8,93,C',2021-01-23
896,A,category_9,98,C',2021-02-20
897,B,category_6,53,A',2022-02-17
898,A,category_5,14,B',2022-10-04
899,A,category_3,37,A',2020-05-01
900,C,category_1,12,C',2020-03-20
901,B,category_9,64,A',2020-07-11
902,D,category_4,1,A',2020-09-09
903,A,category_4,43,C',2023-06-17
904,D,category_7,43,C',2020-10-09
905,B,category_2,71,B',2022-11-26
906,A,category_5,75,A',2023-10-26
907,A,category_6,89,A',2022-05-20
908,D,category_8,69,B',2023-09-19
909,C,category_7,92,C',2023-11-17
910,C,category_4,69,A',2022-06-01
911,C,category_9,29,A',2020-09-24
912,C,category_5,85,A',2020-12-19
913,D,category_2,74,C',2020-12-04
914,A,category_5,86,B',2020-06-12
915,D,category_2,48,B',2021-04-19
916,B,category_9,45,C',2023-09-07
917,B,category_9,51,C',2021-03-05
918,D,category_2,99,C',2023-07-27
919,B,category_9,88,C',2023-10-05
920,A,category_4,70,B',2023-12-18
921,B,category_1,20,A',2022-09-01
922,B,category_9,29,C',2021-08-10
923,A,category_2,40,B',2021-08-23
924,C,category_8,62,B',2020-10-04
925,A,category_2,56,A',2022-02-01
926,C,category_9,47,C',2020-07-26
927,B,category_5,92,A',2022-04-26
928,D,category_4,22,A',2021-05-25
929,C,category_1,0,A',2022-03-17
930,D,category_6,2,A',2022-01-01
931,D,category_1,58,B',2022-10-13
932,B,category_1,29,B',2020-10-15
933,A,category_2,84,B',2023-02-16
934,D,category_1,30,A',2022-10-22
935,B,category_3,29,B',2021-01-27
936,A,category_7,55,B',2023-11-23
937,D,category_2,70,B',2022-10-24
938,A,category_6,61,B',2023-08-25
939,B,category_5,2,A',2021-12-06
940,D,category_6,87,C',2020-03-16
941,A,category_9,47,C',2022-11-24
942,D,category_3,82,C',2022-01-11
943,D,category_9,93,A',2022-09-25
944,B,category_4,6,A',2021-04-25
945,A,category_1,73,C',2022-03-24
946,C,category_3,3,A',2021-06-19
947,B,category_8,48,A',2022-12-18
948,C,category_6,62,A',2021-10-13
949,A,category_3,7,A',2021-03-02
950,D,category_9,24,B',2021-02-23
951,A,category_8,1,A',2023-09-19
952,D,category_6,26,C',2021-10-02
953,C,category_4,22,C',2022-01-26
954,A,category_1,39,A',2022-06-08
955,B,category_7,52,A',2021-02-15
956,D,category_7,95,B',2023-01-24
957,A,category_8,8,A',2020-04-23
958,D,category_5,33,C',2023-05-02
959,D,category_5,29,C',2020-06-19
960,B,category_4,30,A',2021-08-06
961,C,category_3,82,B',2021-08-08
962,C,category_8,2,C',2022-12-07
963,D,category_6,22,A',2020-06-16
964,C,category_5,54,A',2022-10-18
965,D,category_1,9,A',2023-09-06
966,B,category_8,88,B',2021-11-21
967,C,category_8,52,B',2020-05-20
968,D,category_7,2,A',2023-11-12
969,C,category_3,95,B',2020-01-14
970,C,category_4,49,C',2020-06-08
971,D,category_7,11,B',2022-01-15
972,C,category_6,75,C',2022-02-27
973,C,category_7,3,B',2020-07-07
974,A,category_5,26,C',2023-03-01
975,A,category_9,94,B',2023-04-19
976,C,category_4,18,A',2022-08-03
977,D,category_8,29,A',2023-04-10
978,D,category_3,84,C',2020-02-09
979,B,category_4,41,C',2023-02-10
980,D,category_5,45,A',2020-03-13
981,C,category_6,43,C',2022-03-16
982,D,category_4,90,B',2021-02-27
983,B,category_2,22,B',2021-12-04
984,A,category_6,33,C',2021-01-24
985,B,category_2,40,C',2022-07-27
986,A,category_3,72,B',2021-12-23
987,C,category_3,27,B',2020-01-17
988,B,category_6,23,B',2021-05-18
989,C,category_8,18,A',2021-02-08
990,B,category_5,55,B',2022-01-10
991,C,category_3,28,A',2021-11-24
992,C,category_8,40,B',2020-08-01
993,A,category_1,51,A',2023-09-12
994,B,category_3,48,C',2022-04-12
995,D,category_3,79,C',2021-06-24
996,D,category_4,63,A',2020-11-12
997,D,category_4,15,B',2023-12-06
998,B,category_4,55,C',2023-05-25
999,B,category_9,92,C',2020-03-07
1000,D,category_4,13,C',2021-10-26
1001,A,category_2,65,A',2023-04-07
1002,D,category_1,32,A',2023-07-24
1003,C,category_5,66,A',2023-10-03
1004,C,category_6,4,A',2020-02-22
1005,B,category_2,38,B',2023-05-03
1006,D,category_8,51,C',2021-07-01
1007,A,category_6,73,B',2023-05-01
1008,C,category_2,2,C',2023-01-05
1009,D,category_6,15,C',2022-11-24
1010,B,category_5,25,B',2022-02-20
1011,A,category_4,63,A',2023-10-17
1012,D,category_8,84,B',2022-11-11
1013,D,category_7,74,A',2021-04-07
1014,C,category_7,85,B',2022-06-09
1015,D,category_4,49,B',2020-12-20
1016,D,category_3,56,C',2021-01-23
1017,B,category_6,34,B',2022-06-13
1018,B,category_3,27,A',2020-06-23
1019,B,category_5,70,C',2023-11-13
1020,B,category_1,57,C',2021-12-27
1021,B,category_1,94,B',2020-03-26
1022,C,category_7,52,B',2021-09-18
1023,D,category_6,53,A',2022-10-02
1024,C,category_6,72,B',2020-12-27
1025,C,category_2,76,B',2022-06-20
1026,B,category_6,1,B',2020-04-08
1027,A,category_6,85,A',2021-02-08
1028,C,category_3,38,A',2020-01-10
1029,B,category_5,39,C',2021-09-04
1030,A,category_3,9,A',2022-11-27
1031,A,category_9,89,C',2020-03-03
1032,A,category_1,79,A',2022-05-15
1033,C,category_5,29,C',2023-01-16
1034,C,category_6,94,C',2022-09-22
1035,B,category_2,82,B',2023-01-09
1036,C,category_5,33,C',2021-06-18
1037,A,category_5,51,A',2020-07-19
1038,C,category_2,39,A',2021-06-12
1039,C,category_8,20,C',2023-08-10
1040,B,category_4,25,C',2023-08-11
1041,D,category_6,91,B',2023-12-12
1042,A,category_5,64,A',2023-11-04
1043,B,category_3,8,C',2023-03-09
1044,C,category_2,22,C',2023-08-22
1045,A,category_1,17,C',2020-12-11
1046,D,category_6,82,A',2022-09-04
1047,B,category_8,43,A',2021-08-13
1048,C,category_1,36,C',2021-01-01
1049,C,category_2,66,B',2021-10-08
1050,C,category_6,97,B',2022-10-20
1051,B,category_9,87,C',2022-05-02
1052,B,category_5,9,A',2023-08-04
1053,A,category_3,59,A',2022-09-22
1054,C,category_3,81,C',2023-04-02
1055,A,category_2,21,B',2022-12-06
1056,C,category_5,97,C',2023-07-25
1057,C,category_7,17,A',2020-10-04
1058,A,category_8,11,C',2022-04-12
1059,A,category_5,66,B',2020-08-15
1060,D,category_9,2,B',2021-10-24
1061,B,category_8,54,C',2023-01-18
1062,A,category_4,15,B',2021-08-23
1063,D,category_7,50,C',2021-11-15
1064,A,category_4,35,A',2023-03-05
1065,B,category_8,23,C',2023-08-06
1066,C,category_6,9,C',2023-08-14
1067,D,category_4,44,B',2020-01-11
1068,A,category_7,37,C',2023-09-07
1069,D,category_2,92,B',2023-06-03
1070,D,category_5,61,A',2021-06-01
1071,B,category_9,24,B',2020-05-19
1072,C,category_4,53,B',2022-01-20
1073,D,category_7,98,C',2022-09-15
1074,A,category_2,20,A',2021-04-06
1075,C,category_1,7,A',2022-10-02
1076,D,category_1,35,A',2022-05-05
1077,A,category_9,91,A',2022-08-07
1078,D,category_7,62,B',2020-05-14
1079,B,category_5,0,A',2022-02-15
1080,D,category_8,60,C',2021-02-06
1081,A,category_4,19,A',2022-01-14
1082,A,category_4,88,C',2020-10-17
1083,D,category_2,59,A',2022-04-05
1084,A,category_4,38,C',2022-08-24
1085,B,category_7,54,A',2023-07-17
1086,C,category_2,22,A',2020-01-14
1087,D,category_2,69,C',2020-07-02
1088,A,category_3,45,A',2021-08-23
1089,D,category_7,40,C',2022-10-09
1090,B,category_6,25,A',2021-03-23
1091,B,category_6,80,C',2022-04-18
1092,A,category_8,76,B',2021-02-26
1093,C,category_1,68,B',2021-03-12
1094,A,category_8,3,C',2021-03-09
1095,B,category_7,54,A',2023-11-12
1096,B,category_9,44,A',2020-04-01
1097,B,category_4,56,A',2023-02-08
1098,D,category_6,83,B',2022-03-09
1099,C,category_8,97,A',2021-02-22
1100,C,category_4,67,C',2022-08-07
1101,C,category_3,88,B',2023-03-27
1102,B,category_2,25,C',2023-02-11
1103,A,category_2,5,B',2022-02-19
1104,C,category_9,88,C',2021-01-15
1105,B,category_1,56,B',2020-04-22
1106,D,category_7,81,B',2022-02-27
1107,B,category_3,14,C',2023-09-06
1108,A,category_5,68,A',2020-01-18
1109,D,category_1,15,B',2023-06-05
1110,C,category_4,96,B',2021-01-19
1111,A,category_9,52,A',2020-11-01
1112,B,category_8,22,C',2022-04-24
1113,B,category_2,30,C',2022-06-27
1114,B,category_4,90,C',2022-05-25
1115,C,category_1,55,C',2021-04-09
1116,A,category_3,95,C',2020-02-05
1117,D,category_1,60,C',2020-12-05
1118,C,category_5,35,B',2020-01-23
1119,B,category_1,82,C',2020-07-11
1120,B,category_2,91,C',2020-06-18
1121,D,category_3,22,B',2020-07-13
1122,A,category_4,74,C',2021-07-02
1123,C,category_9,24,B',2021-05-06
1124,B,category_6,81,B',2023-01-17
1125,A,category_5,67,A',2022-01-20
1126,D,category_2,9,A',2023-08-27
1127,C,category_1,52,B',2022-03-09
1128,A,category_2,89,B',2022-10-14
1129,C,category_3,95,B',2023-07-13
1130,C,category_7,71,C',2023-07-04
1131,D,category_2,92,A',2020-10-04
1132,B,category_5,43,A',2022-03-26
1133,B,category_8,82,C',2023-07-12
1134,D,category_5,87,B',2021-10-10
1135,D,category_6,13,C',2020-11-03
1136,C,category_5,59,A',2021-02-03
1137,C,category_2,98,B',2023-03-09
1138,A,category_9,11,A',2020-07-15
1139,A,category_4,32,B',2022-05-05
1140,D,category_7,89,C',2021-05-05
1141,B,category_5,87,A',2022-05-03
1142,B,category_3,78,B',2020-05-07
1143,B,category_9,31,A',2021-01-23
1144,C,category_3,51,B',2021-05-13
1145,B,category_1,62,C',2022-05-23
1146,A,category_6,2,A',2021-09-26
1147,C,category_8,80,C',2023-05-13
1148,A,category_4,29,B',2021-02-02
1149,B,category_1,96,A',2022-12-22
1150,C,category_5,28,C',2021-06-04
1151,B,category_4,7,B',2022-03-01
1152,C,category_6,26,A',2022-11-03
1153,B,category_4,80,C',2023-04-16
1154,B,category_4,82,C',2020-10-12
1155,D,category_7,79,A',2022-10-03
1156,B,category_5,93,C',2023-07-27
1157,A,category_6,77,B',2020-04-15
1158,A,category_2,31,B',2020-10-12
1159,A,category_5,9,C',2023-04-10
1160,D,category_1,97,C',2022-09-04
1161,D,category_2,23,C',2022-12-07
1162,D,category_4,45,A',2022-11-10
1163,B,category_7,27,B',2021-05-02
1164,D,category_6,69,A',2022-11-01
1165,C,category_9,66,C',2023-07-15
1166,A,category_6,9,A',2022-06-17
1167,B,category_7,64,A',2020-03-14
1168,D,category_7,66,A',2022-01-04
1169,B,category_7,7,A',2022-10-22
1170,A,category_3,72,B',2022-05-15
1171,B,category_8,2,A',2020-04-08
1172,B,category_4,78,C',2021-06-21
1173,B,category_1,81,C',2023-07-16
1174,C,category_3,79,A',2020-10-27
1175,D,category_1,91,C',2023-07-12
1176,A,category_7,49,B',2023-12-06
1177,B,category_3,72,B',2020-04-02
1178,D,category_7,74,A',2021-04-01
1179,A,category_1,43,C',2020-07-16
1180,C,category_8,97,C',2023-07-01
1181,A,category_9,29,C',2022-11-24
1182,B,category_6,0,B',2021-02-20
1183,A,category_2,18,B',2021-04-04
1184,D,category_6,15,C',2022-08-07
1185,A,category_8,56,B',2022-08-20
1186,D,category_5,8,C',2021-05-21
1187,C,category_4,67,A',2020-12-19
1188,C,category_6,99,B',2020-03-05
1189,C,category_5,16,A',2022-09-22
1190,C,category_5,33,B',2023-08-26
1191,C,category_9,84,B',2021-10-01
1192,D,category_3,31,B',2023-07-08
1193,D,category_8,51,B',2021-02-10
1194,C,category_3,90,A',2022-11-05
1195,A,category_2,11,B',2020-05-20
1196,C,category_6,33,C',2020-03-02
1197,B,category_2,15,A',2021-11-26
1198,B,category_1,93,B',2023-07-14
1199,D,category_9,91,A',2022-03-01
1200,A,category_3,30,A',2022-02-17
1201,C,category_9,35,C',2022-09-03
1202,D,category_7,65,C',2020-06-19
1203,A,category_7,73,A',2022-11-03
1204,A,category_5,74,B',2023-07-05
1205,C,category_7,18,A',2023-11-21
1206,A,category_3,81,B',2020-06-08
1207,B,category_9,69,A',2020-05-07
1208,C,category_3,26,C',2022-12-18
1209,A,category_6,87,B',2023-08-15
1210,B,category_2,45,A',2023-05-03
1211,C,category_7,87,B',2022-07-11
1212,B,category_6,78,B',2023-12-08
1213,D,category_3,8,A',2022-12-07
1214,A,category_2,83,C',2023-10-05
1215,C,category_2,6,A',2021-07-17
1216,A,category_5,46,B',2023-11-07
1217,C,category_1,79,A',2021-04-21
1218,B,category_8,44,A',2022-12-23
1219,C,category_1,62,A',2022-10-05
1220,B,category_7,1,C',2023-09-07
1221,C,category_1,69,A',2020-07-10
1222,D,category_4,40,A',2022-04-27
1223,A,category_9,73,B',2022-02-07
1224,D,category_2,82,B',2022-08-05
1225,D,category_3,88,A',2021-07-19
1226,A,category_7,74,C',2021-05-04
1227,A,category_8,56,C',2021-09-01
1228,C,category_3,17,A',2021-09-14
1229,A,category_5,10,B',2021-10-22
1230,D,category_7,7,B',2020-12-16
1231,D,category_6,86,B',2020-07-25
1232,D,category_9,63,A',2021-08-09
1233,D,category_3,1,B',2023-10-02
1234,A,category_7,1,B',2021-11-21
1235,D,category_8,87,C',2022-09-07
1236,A,category_1,57,B',2022-07-10
1237,C,category_8,42,B',2022-05-14
1238,D,category_6,73,C',2023-12-25
1239,B,category_2,64,C',2022-07-23
1240,D,category_7,24,C',2022-07-04
1241,B,category_6,54,B',2022-08-03
1242,B,category_1,73,C',2021-01-05
1243,A,category_9,42,A',2021-12-11
1244,A,category_5,68,A',2020-10-26
1245,A,category_4,33,C',2021-08-16
1246,A,category_6,94,C',2022-08-04
1247,C,category_4,46,A',2023-12-04
1248,B,category_5,67,B',2023-12-09
1249,D,category_4,42,B',2021-10-05
1250,C,category_6,13,A',2020-10-10
1251,C,category_7,4,A',2021-07-13
1252,D,category_9,52,B',2020-10-25
1253,D,category_1,34,B',2023-11-01
1254,C,category_1,92,A',2021-08-11
1255,C,category_1,71,A',2020-03-02
1256,C,category_5,95,A',2022-01-10
1257,D,category_2,25,B',2022-08-18
1258,B,category_4,80,A',2023-03-12
1259,A,category_8,56,C',2023-02-07
1260,D,category_7,67,A',2020-05-06
1261,D,category_4,63,A',2022-07-09
1262,C,category_7,42,C',2022-02-06
1263,D,category_6,88,A',2022-01-04
1264,C,category_8,11,A',2023-12-24
1265,C,category_9,98,C',2023-04-13
1266,A,category_4,37,A',2022-07-15
1267,B,category_4,5,C',2022-03-06
1268,A,category_4,84,B',2023-09-19
1269,A,category_3,77,A',2022-06-19
1270,A,category_9,65,A',2023-01-23
1271,C,category_1,96,B',2022-08-03
1272,C,category_2,58,A',2023-06-21
1273,C,category_1,73,B',2023-12-15
1274,C,category_7,31,B',2023-03-27
1275,B,category_2,93,B',2020-03-07
1276,A,category_3,24,B',2022-05-05
1277,B,category_5,53,A',2023-06-09
1278,A,category_9,39,C',2021-11-12
1279,C,category_9,53,B',2023-09-10
1280,A,category_8,42,A',2021-01-14
1281,B,category_9,57,C',2020-09-15
1282,D,category_5,96,A',2021-05-06
1283,D,category_6,72,C',2021-07-11
1284,D,category_6,77,B',2020-06-14
1285,B,category_9,68,C',2022-09-15
1286,B,category_7,66,A',2020-09-15
1287,D,category_4,53,C',2020-08-20
1288,D,category_1,11,B',2022-02-03
1289,D,category_3,16,C',2022-03-10
1290,C,category_9,22,C',2020-02-16
1291,B,category_7,48,A',2021-07-12
1292,A,category_5,56,B',2020-03-06
1293,C,category_4,13,B',2022-08-20
1294,B,category_2,62,C',2020-09-20
1295,B,category_3,55,A',2023-08-09
1296,C,category_9,90,A',2021-08-10
1297,A,category_1,11,A',2023-06-03
1298,D,category_5,57,B',2021-08-22
1299,B,category_3,83,A',2021-04-18
1300,C,category_5,8,B',2022-07-15
1301,D,category_1,39,A',2022-03-20
1302,D,category_2,68,A',2020-03-25
1303,B,category_1,75,B',2023-08-15
1304,C,category_7,92,B',2020-11-04
1305,B,category_7,35,A',2022-09-16
1306,A,category_4,41,B',2021-01-14
1307,D,category_8,36,A',2023-11-21
1308,C,category_7,7,C',2021-08-13
1309,B,category_5,34,C',2020-09-01
1310,A,category_7,43,B',2020-12-04
1311,B,category_6,54,A',2023-01-04
1312,D,category_5,54,B',2020-06-04
1313,D,category_7,10,C',2021-10-13
1314,A,category_4,83,B',2021-08-11
1315,A,category_7,37,C',2022-07-26
1316,A,category_9,27,A',2021-09-24
1317,B,category_8,60,A',2020-01-20
1318,D,category_7,66,A',2023-03-14
1319,B,category_6,91,C',2021-09-21
1320,C,category_7,49,B',2023-03-01
1321,A,category_5,17,C',2021-05-15
1322,C,category_6,75,B',2020-09-23
1323,B,category_8,21,A',2022-02-04
1324,D,category_2,44,B',2023-12-27
1325,C,category_1,43,A',2021-05-06
1326,B,category_8,63,C',2021-08-15
1327,A,category_5,70,B',2023-10-14
1328,B,category_5,47,C',2021-09-15
1329,D,category_4,14,C',2022-07-08
1330,B,category_9,19,A',2021-06-18
1331,A,category_3,63,C',2023-03-12
1332,A,category_2,97,B',2020-07-23
1333,A,category_2,42,B',2021-04-27
1334,A,category_4,5,B',2020-08-20
1335,C,category_5,36,A',2020-06-10
1336,B,category_6,74,A',2020-10-10
1337,C,category_2,73,A',2022-02-26
1338,D,category_8,33,B',2023-10-01
1339,D,category_1,86,A',2021-07-05
1340,A,category_9,12,B',2021-12-05
1341,D,category_9,64,A',2023-02-24
1342,B,category_4,3,B',2023-10-27
1343,C,category_4,63,C',2022-04-22
1344,D,category_9,34,B',2021-05-02
1345,A,category_4,68,C',2020-06-17
1346,C,category_2,31,A',2020-12-20
1347,D,category_1,57,C',2023-09-06
1348,D,category_5,57,B',2020-02-01
1349,B,category_8,56,B',2021-10-19
1350,C,category_2,68,B',2021-04-14
1351,B,category_1,76,A',2020-09-02
1352,C,category_4,63,A',2022-07-07
1353,D,category_6,51,A',2023-01-06
1354,A,category_9,34,A',2023-09-07
1355,D,category_4,24,C',2022-05-14
1356,C,category_3,13,A',2022-01-03
1357,C,category_9,78,C',2021-05-17
1358,A,category_3,57,B',2021-06-14
1359,A,category_8,62,B',2023-05-18
1360,A,category_9,63,B',2022-10-05
1361,A,category_5,23,B',2021-10-11
1362,D,category_8,44,B',2022-08-23
1363,B,category_7,18,A',2021-02-21
1364,D,category_1,64,B',2020-08-07
1365,C,category_8,38,A',2021-06-08
1366,C,category_1,87,A',2020-07-02
1367,B,category_1,42,C',2022-08-10
1368,B,category_2,55,B',2023-03-10
1369,D,category_9,60,B',2020-08-18
1370,A,category_2,21,B',2022-10-15
1371,D,category_6,82,B',2022-04-10
1372,A,category_6,10,C',2022-05-08
1373,A,category_1,27,A',2023-04-14
1374,D,category_9,62,B',2023-01-15
1375,B,category_4,7,A',2020-02-22
1376,A,category_8,3,B',2020-04-26
1377,D,category_6,64,B',2021-09-19
1378,A,category_4,39,B',2023-10-04
1379,C,category_2,96,A',2022-02-01
1380,A,category_5,29,A',2022-03-05
1381,D,category_4,89,C',2020-04-18
1382,B,category_3,53,C',2023-04-12
1383,A,category_3,55,B',2022-09-11
1384,D,category_8,27,A',2023-02-06
1385,B,category_7,76,A',2021-01-07
1386,C,category_1,67,A',2020-05-22
1387,D,category_5,17,B',2020-05-08
1388,C,category_8,72,A',2022-06-13
1389,B,category_4,95,B',2021-11-11
1390,B,category_4,1,B',2020-11-04
1391,D,category_3,69,C',2021-08-13
1392,B,category_8,5,C',2023-07-04
1393,A,category_3,89,B',2023-09-10
1394,A,category_7,74,B',2023-01-05
1395,A,category_9,32,A',2020-10-06
1396,B,category_4,59,B',2020-04-01
1397,D,category_6,6,B',2023-03-19
1398,A,category_5,88,A',2022-05-03
1399,A,category_5,46,B',2020-04-23
1400,A,category_3,20,A',2022-10-16
1401,D,category_2,1,B',2022-11-05
1402,B,category_9,52,C',2022-05-14
1403,C,category_9,96,B',2023-03-18
1404,D,category_4,37,B',2022-07-07
1405,D,category_8,58,C',2021-12-25
1406,D,category_2,76,A',2022-03-09
1407,C,category_2,72,B',2021-11-04
1408,B,category_3,35,A',2020-12-15
1409,C,category_3,53,C',2020-03-25
1410,A,category_9,86,B',2020-10-10
1411,C,category_1,21,C',2023-07-27
1412,A,category_5,45,A',2020-01-25
1413,A,category_4,6,C',2022-09-19
1414,D,category_7,29,A',2023-12-10
1415,B,category_1,20,C',2020-07-27
1416,D,category_3,19,C',2022-10-18
1417,A,category_9,65,C',2021-04-27
1418,B,category_3,59,C',2020-09-03
1419,A,category_5,13,C',2023-09-19
1420,D,category_1,38,B',2020-12-03
1421,C,category_7,60,C',2020-02-25
1422,B,category_5,57,A',2022-07-09
1423,C,category_1,48,B',2020-08-17
1424,B,category_5,44,C',2023-07-02
1425,D,category_5,0,C',2020-12-25
1426,C,category_3,28,C',2021-07-17
1427,C,category_7,18,A',2023-12-13
1428,C,category_3,37,A',2023-02-02
1429,C,category_6,77,A',2022-03-02
1430,D,category_3,22,B',2022-08-08
1431,B,category_9,95,C',2021-01-26
1432,C,category_6,75,C',2022-07-12
1433,B,category_7,87,C',2022-08-01
1434,C,category_8,20,B',2022-05-23
1435,B,category_9,11,A',2022-04-09
1436,C,category_9,93,A',2022-03-19
1437,A,category_6,95,B',2021-06-04
1438,B,category_9,86,B',2023-04-12
1439,D,category_8,98,C',2021-08-12
1440,D,category_7,33,A',2021-04-10
1441,A,category_8,34,C',2021-08-17
1442,D,category_8,67,B',2022-07-27
1443,D,category_1,52,C',2021-04-25
1444,A,category_4,44,A',2020-06-01
1445,D,category_9,31,C',2023-09-01
1446,C,category_8,40,C',2020-04-03
